country,beer_servings
Namibia,376
Czech Republic,361
Gabon,347
Germany,346
Lithuania,343
Poland,343
Venezuela,333
Ireland,313
Palau,306
Romania,297
Belgium,295
Panama,285
Spain,284
Serbia,283
Latvia,281
Austria,279
Slovenia,270
Finland,263
Belize,263
Australia,261
Netherlands,251
USA,249
Russian Federation,247
Andorra,245
Brazil,245
Canada,240
Mexico,238
Luxembourg,236
Hungary,234
Iceland,233
Bulgaria,231
Croatia,230
South Africa,225
Estonia,224
Denmark,224
United Kingdom,219
Angola,217
Paraguay,213
Ukraine,206
New Zealand,203
Grenada,199
Trinidad & Tobago,197
Slovakia,196
St. Kitts & Nevis,194
Portugal,194
Dominican Republic,193
Argentina,193
Cyprus,192
Niue,188
Switzerland,185
Botswana,173
St. Lucia,171
Norway,169
Bolivia,167
Peru,163
Ecuador,162
Colombia,159
Seychelles,157
Sweden,152
Malta,149
Costa Rica,149
Cameroon,147
Cabo Verde,144
Barbados,143
Belarus,142
South Korea,140
Greece,133
Chile,130
Suriname,128
France,127
Kazakhstan,124
Bahamas,122
St. Vincent & the Grenadines,120
Uruguay,115
Vietnam,111
Moldova,109
Macedonia,106
Samoa,105
Antigua & Barbuda,102
Thailand,99
Mauritius,98
Guyana,93
Cuba,93
Equatorial Guinea,92
Swaziland,90
Albania,89
Burundi,88
Italy,85
Jamaica,82
Lesotho,82
China,79
Nicaragua,78
Japan,77
Mongolia,77
Fiji,77
Bosnia-Herzegovina,76
Congo,76
Philippines,71
Honduras,69
Zimbabwe,64
Israel,63
Micronesia,62
Laos,62
Singapore,60
Kenya,58
Cambodia,57
Solomon Islands,56
Sao Tome & Principe,56
Guatemala,53
Georgia,52
El Salvador,52
Dominica,52
Tunisia,51
Turkey,51
Nauru,49
Mozambique,47
Uganda,45
Papua New Guinea,44
Rwanda,43
Bahrain,42
Nigeria,42
Cote d'Ivoire,37
Tonga,36
Tanzania,36
Togo,36
Benin,34
Zambia,32
DR Congo,32
Ghana,31
Montenegro,31
Brunei,31
Kyrgyzstan,31
Guinea-Bissau,28
Madagascar,26
Burkina Faso,25
Algeria,25
Sierra Leone,25
Uzbekistan,25
Bhutan,23
Oman,22
Vanuatu,21
Azerbaijan,21
Armenia,21
Kiribati,21
Ethiopia,20
Lebanon,20
Turkmenistan,19
Liberia,19
Eritrea,18
Central African Republic,17
United Arab Emirates,16
Sri Lanka,16
Djibouti,15
Chad,15
Malaysia,13
Morocco,12
India,9
Senegal,9
Guinea,9
Iraq,9
Gambia,8
Sudan,8
Malawi,8
Tuvalu,6
Egypt,6
Jordan,6
Yemen,6
Mali,5
Syria,5
Indonesia,5
Nepal,5
Myanmar,5
Niger,3
Tajikistan,2
Timor-Leste,1
Qatar,1
Haiti,1
Comoros,1
North Korea,0
Cook Islands,0
Bangladesh,0
San Marino,0
Kuwait,0
Iran,0
Saudi Arabia,0
Libya,0
Maldives,0
Marshall Islands,0
Mauritania,0
Somalia,0
Monaco,0
Pakistan,0
Afghanistan,0
