country,spirit_servings
Grenada,438
Belarus,373
Haiti,326
Russian Federation,326
St. Lucia,315
Guyana,302
Slovakia,293
Dominica,286
Thailand,258
Cook Islands,254
Bulgaria,252
Kazakhstan,246
Lithuania,244
Ukraine,237
Moldova,226
St. Vincent & the Grenadines,221
Latvia,216
Hungary,215
Poland,215
St. Kitts & Nevis,205
Japan,202
Niue,200
Estonia,194
China,192
Mongolia,189
Philippines,186
Armenia,179
Suriname,178
Bahamas,176
Barbados,173
Bosnia-Herzegovina,173
Czech Republic,170
Peru,160
USA,158
Spain,157
Trinidad & Tobago,156
Cyprus,154
Liberia,152
France,151
Dominican Republic,147
Brazil,145
Andorra,138
Cuba,137
United Arab Emirates,135
Finland,133
Luxembourg,133
Albania,132
Serbia,131
Antigua & Barbuda,128
United Kingdom,126
Chile,124
Canada,122
Romania,122
Ireland,118
Nicaragua,118
Germany,117
Paraguay,117
India,114
Montenegro,114
Belize,114
Greece,112
Sri Lanka,104
Panama,104
Uzbekistan,101
Switzerland,100
Malta,100
Georgia,100
Venezuela,100
Honduras,98
Gabon,98
Kyrgyzstan,97
Jamaica,97
Netherlands,88
Costa Rica,87
Croatia,87
Belgium,84
Denmark,81
New Zealand,79
Colombia,76
South Africa,76
Austria,75
Ecuador,74
Australia,72
Norway,71
Turkmenistan,71
El Salvador,69
Israel,69
Guatemala,69
Mexico,68
Portugal,67
Cambodia,65
Palau,63
Bahrain,63
Iceland,61
Sweden,60
Angola,57
Cabo Verde,56
Lebanon,55
Slovenia,51
Micronesia,50
Azerbaijan,46
Djibouti,44
Qatar,42
Italy,42
Tuvalu,41
Bolivia,41
Papua New Guinea,39
Sao Tome & Principe,38
Uruguay,35
Syria,35
Botswana,35
Fiji,35
Kiribati,34
Mauritius,31
Guinea-Bissau,31
Lesotho,29
Macedonia,27
Argentina,25
Seychelles,25
Turkey,22
Kenya,22
Jordan,21
Tonga,21
Zambia,19
Vanuatu,18
Samoa,18
Zimbabwe,18
Mozambique,18
Oman,16
South Korea,16
Tajikistan,15
Madagascar,15
Sudan,13
Singapore,12
Solomon Islands,11
Malawi,11
Uganda,9
Burkina Faso,7
Tanzania,6
Nepal,6
Morocco,6
Nigeria,5
Saudi Arabia,5
Egypt,4
Benin,4
Malaysia,4
Ethiopia,3
Ghana,3
Iraq,3
DR Congo,3
Sierra Leone,3
Namibia,3
Tunisia,3
Comoros,3
Niger,2
Brunei,2
Togo,2
Vietnam,2
Central African Republic,2
Swaziland,2
Rwanda,2
Chad,1
Mali,1
Myanmar,1
Senegal,1
Cameroon,1
Indonesia,1
Cote d'Ivoire,1
Timor-Leste,1
Congo,1
Yemen,0
Algeria,0
Bhutan,0
Bangladesh,0
Burundi,0
Guinea,0
North Korea,0
Libya,0
Nauru,0
Monaco,0
Mauritania,0
Marshall Islands,0
Maldives,0
San Marino,0
Laos,0
Equatorial Guinea,0
Kuwait,0
Iran,0
Somalia,0
Pakistan,0
Gambia,0
Eritrea,0
Afghanistan,0
